Model,Accuracy,Balanced Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),ROC-AUC (OvR)
random_forest,0.5862068965517241,0.6447368421052632,0.4618437118437118,0.6457622836933181,0.47222222222222215,0.537280701754386,
logistic_regression,0.5172413793103449,0.6236842105263157,0.4111721611721612,0.5670708601743084,0.4388888888888889,0.5197368421052632,
svm,0.5172413793103449,0.6236842105263157,0.4111721611721612,0.5670708601743084,0.4388888888888889,0.5197368421052632,
knn,0.7241379310344828,0.4184210526315789,0.41,0.6965517241379311,0.4023809523809524,0.4184210526315789,
naive_bayes,0.4827586206896552,0.6131578947368421,0.38924630924630926,0.5014452214452214,0.40079365079365076,0.5109649122807017,
lightgbm,0.3793103448275862,0.5815789473684211,0.29451659451659445,0.3737025426680599,0.34372294372294376,0.41541353383458646,
