Model,Accuracy,Balanced Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),ROC-AUC (OvR)
random_forest,0.9310344827586207,0.75,0.7614285714285713,0.9130541871921182,0.780952380952381,0.75,
lightgbm,0.9310344827586207,0.75,0.7614285714285713,0.9130541871921182,0.780952380952381,0.75,
logistic_regression,0.896551724137931,0.7394736842105263,0.7346153846153847,0.8806366047745359,0.73,0.7394736842105263,
naive_bayes,0.7586206896551724,0.7368421052631579,0.6545634920634921,0.7682334428024084,0.64,0.7368421052631579,
svm,0.8620689655172413,0.6894736842105262,0.6393772893772894,0.8494379184034357,0.63,0.6894736842105262,
knn,0.7931034482758621,0.4789473684210527,0.47000000000000003,0.7637931034482758,0.4619047619047619,0.4789473684210527,
